年季,key_code,feat_Active_share,feat_Concentration,feat_HoldingAlpha,feat_HBM,feat_OneMinusR2,feat_ReturnGap,feat_TrackingError,feat_TradingMoM
2006Q2,1101,0.2700367704993332,0.10040037112794238,,0.9330906528982704,,-0.20117522445344926,,0.31408088261919753
2006Q2,1102,-1.5702959691160496,-1.1245969487535579,,0.40624496502372726,,-0.27226032783645654,,1.1086879550357724
2006Q2,1103,-0.5617334555778482,-0.49257361099884445,,-0.018745367136796007,,0.03164416909909285,,-0.07868528792303306
2006Q2,1210,-0.6408734776685484,-0.9070959270642487,,0.46432471534310144,,0.36189569379988396,,0.4316778764332295
2006Q2,1216,-0.09085004877581979,0.01253356886668219,,1.0011498895588609,,-0.07519003295316641,,0.33472737677231124
2006Q2,1301,0.6324088646703673,0.8669565508007696,,-0.6298040926840941,,-0.495073001883037,,-1.0372123382536647
2006Q2,1303,3.172070194930302,3.87936712530758,,-0.2170634863143752,,-1.9978618770911858,,0.7582735325831449
2006Q2,1311,-0.6024026040118896,-0.6059054772889841,,-0.07411139514506701,,0.12532705065749808,,-0.18667602430691418
2006Q2,1313,-0.7101074244861282,-0.5905912695317868,,-0.030687649640874098,,-0.16768792012077066,,-0.1329492009014952
2006Q2,1314,0.15153263292773494,-0.586460427078463,,0.17108214654621437,,-0.09755824631265088,,0.10650730694759143
2006Q2,1319,0.4081754557520666,0.5035040150882126,,0.19391993629132886,,-0.1402151820718481,,0.040517871534542976
2006Q2,1326,2.0326217849900297,2.013480705990863,,0.04888012560201456,,0.3966776015361499,,-1.4926809778101426
2006Q2,1402,-0.5631530097933344,-0.2703999231206141,,-0.3094912335809452,,-0.4800467087954047,,-0.047476692124586516
2006Q2,1414,-0.5687869615177816,-0.8236707117416722,,0.3518877728683484,,-0.4717817652600793,,-0.21883008262476114
2006Q2,1434,-0.814406197921576,-0.7057114134170321,,-0.3454246273719515,,0.04489305723833205,,-0.3408050196785843
2006Q2,1459,-0.7974130142728381,-0.3389227530390723,,-1.1355871709836831,,,,-0.09414332302920202
2006Q2,1467,-0.8749918642979241,-0.7914738745682834,,-0.1521071120589726,,0.017542416186172024,,-0.2640399072140834
2006Q2,1471,-0.49312100290658084,-0.7100747884844166,,0.4219697517199342,,0.17274325765315907,,0.9135583336970138
2006Q2,1473,-0.9339254934531358,-0.8065481815031349,,0.061771929493759224,,-0.15056204086165445,,-0.008919684737522802
2006Q2,1477,-0.4752996699109059,-0.4627176493973551,,-0.0039857009932977,,-0.27742569479320334,,-0.023412052350653256
2006Q2,1507,0.6292145182141512,-0.4909563805473049,,-0.5739560665562565,,-0.48749255756014415,,-0.0835386996805234
2006Q2,1513,0.9986847997457001,0.2263225287756542,,0.6592231828092028,,-0.30925703084531525,,1.026417149474201
2006Q2,1520,-0.901347218315677,-0.8020139643676916,,-0.7008504944956584,,-0.0233876691790285,,-0.2958162924999248
2006Q2,1521,-0.5990110726718154,-0.6031929692017378,,-0.07229959431933458,,0.12754422792044012,,-0.18570601881266796
2006Q2,1522,-0.5430426516479698,-0.17923117046062065,,-0.6431305071359498,,,,-0.279828615466656
2006Q2,1524,-0.8416049968955067,-0.7098570540658512,,-0.1863706286363159,,-0.03240760046192544,,-0.009080388934569568
2006Q2,1527,-0.41524808821388604,-0.3546207884462361,,-0.14980802716677158,,-0.13452124049037523,,-0.24169239515940902
2006Q2,1530,0.08264337644700044,0.8734020153031077,,1.122617804646011,,-0.46016390851537325,,0.5995402698673816
2006Q2,1531,-0.6669950944150944,-0.5341620105530778,,0.2493063332571429,,0.14985122690917663,,-0.1189205000198941
2006Q2,1532,1.464132876592264,0.5069704002976938,,3.4194583752909335,,1.7653818355144033,,3.4642501765154874
2006Q2,1536,1.2615251732855273,0.4924011320378872,,0.5014523912814768,,-1.7908097697670673,,0.8486958366480175
2006Q2,1560,1.0884459567546907,1.200732340272611,,0.2701693934982653,,-0.5258641952416414,,-0.15758998773198474
2006Q2,1565,0.735953398831483,1.1901263008149991,,0.7609938156043632,,0.7782109819672787,,1.6581221335296952
2006Q2,1605,0.49844562618748395,-0.5277766227823515,,0.1509720381749414,,0.5282441834428356,,0.7391715826900078
2006Q2,1611,-0.464071127912908,-0.7987942936083855,,-0.16822995265402324,,0.0898530200849495,,-0.15305243506423083
2006Q2,1614,-0.685842668847177,-0.6991865186752424,,-0.17046787085339296,,-0.07966123083539375,,-0.11856712544228566
2006Q2,1704,-0.9393066743727921,-0.7706548333834102,,-0.7263883311847064,,-0.03206637586840235,,-0.4029225802312774
2006Q2,1710,0.000774831349374027,-0.7183916429151999,,0.09647806864509648,,0.327361798702289,,-0.06768506992558466
2006Q2,1711,-0.515813655449597,-0.3705405910468255,,0.11031579337011878,,-0.14945337287652824,,-0.006665961300437222
2006Q2,1716,-0.9479251505146911,-0.7956796671736179,,0.5625187098645694,,-0.06622072813446485,,-0.11583407060672234
2006Q2,1717,0.08974740450716424,1.8230930540207653,,2.6252703335035603,,-2.037704228317203,,1.7707969860274724
2006Q2,1722,0.42149399654277153,0.42988001038864315,,0.39959466448350994,,-0.15126888470693403,,0.6258288815025058
2006Q2,1723,-0.8434967529050956,-0.7254100218357488,,-0.1898764545026769,,-0.03342596112343698,,-0.04915868139026944
2006Q2,1729,0.3763757845241105,0.39269599235200814,,1.9626118617220951,,-0.6495126187081002,,2.9371425528475106
2006Q2,1736,-0.8155499873427707,-0.4227743229253259,,-0.4108474210995648,,-0.609409878208303,,0.21781916956190248
2006Q2,1742,-0.8345073580056109,-0.7809304381724789,,-0.2519820686274118,,-0.02416173588739836,,-0.2724031870009117
2006Q2,1785,0.3178317571332907,0.05820097205940401,,0.16575039040018025,,0.016180175748168057,,0.24085028902854674
2006Q2,1802,-0.7543792735640381,-0.7621227239182066,,-0.32473748979130673,,0.002617002784136127,,-0.21530785810031652
2006Q2,1904,0.11674241891302174,-0.32997382340341824,,-0.14249889758494047,,-0.45977765407452564,,0.051271221127596196
2006Q2,1905,-0.5452171977992875,-0.6854399806752581,,-0.6632385993021428,,-0.042659803453933984,,-0.47615088063467137
2006Q2,1907,-0.47338050111259766,-0.4609718959641177,,-0.002949158073215994,,-0.2786372766611881,,-0.022218933677908597
2006Q2,2002,3.7653609884786525,2.912622933397208,,1.4467260970897156,,-2.703742164725011,,2.9271188371057937
2006Q2,2006,1.7947939524767118,1.8063281296523694,,3.0663354697608636,,-3.086941596632042,,3.496136984799619
2006Q2,2012,-0.6431009800927819,-0.6384555743359401,,-0.09585300505384925,,0.09872092350219258,,-0.19831609023787092
2006Q2,2014,1.4659179346568587,1.512179727683909,,3.1229119159473644,,-2.7325989456019153,,3.7377821601430465
2006Q2,2015,0.5857046642744358,0.5010908713633049,,-0.4105928316880454,,-0.11387673884136346,,0.33899905120226986
2006Q2,2023,4.034738587990161,3.4042937191135096,,0.9538451581676323,,-3.238511857899838,,1.4633785281925396
2006Q2,2027,-0.50886584966164,-0.45074505417798255,,-0.3196534879662122,,0.22517422113120764,,-0.27267759238643086
2006Q2,2029,-0.40203453508114445,-0.20157677039034547,,0.9078691681647562,,0.12481939629694695,,0.2297509593418969
2006Q2,2034,0.2587299495507311,0.09781679805463812,,0.6360795499584592,,-0.5328228913209796,,0.21378008851869726
2006Q2,2059,0.47037071074986814,0.5903400399350391,,0.23010439073494135,,0.08446488008248103,,1.0051975158303161
2006Q2,2103,1.0857088343566639,0.521052303846836,,0.8040108867820096,,-0.004548721509294546,,0.7850392071007951
2006Q2,2104,-0.7992657323967266,-0.7820459399378074,,-0.5960668535971374,,0.012610161262149113,,-0.49283988747204144
2006Q2,2105,-0.6879418440945105,-0.6401583760107086,,-0.34076752013750844,,0.029815629252217885,,0.14629963696729673
2006Q2,2107,-0.8350889484180357,-0.6562857206362055,,-0.17429500620774319,,-0.028899913738941085,,0.1289670628572853
2006Q2,2201,-0.8590456297670279,-0.7079764440476107,,-0.3685511044756538,,-0.041018942158602176,,-0.2986114198415654
2006Q2,2204,-0.34611595597886124,-0.1713580299588298,,0.4935920929884107,,-0.1150519740109704,,-0.05291857358192143
2006Q2,2207,-0.392139579204451,-0.34317780220178007,,-0.15979461038580192,,-0.13443654278036304,,-0.22961490400398502
2006Q2,2227,-0.7252314850105651,-0.7029300936974643,,-0.6412622012063167,,-0.007374914126007461,,-0.2426957168551533
2006Q2,2301,-0.026887363038870155,0.004014248591804631,,-0.21485155993498006,,-0.38021624161466927,,0.41920247387846327
2006Q2,2303,0.4382980830544435,-0.890540871845112,,0.3042073206473349,,0.07540570498564379,,-1.0936753475410217
2006Q2,2308,0.8335929734266516,-0.7120286446605971,,1.2729814735430995,,-2.601370142589704,,1.1558009478172158
2006Q2,2311,1.0665336363620572,0.6590748063777123,,-0.7290280857036158,,-2.6882968543835624,,-0.6501285650950728
2006Q2,2313,0.8260014131471097,-0.8081122958022842,,-0.1778040673453669,,-0.17273218324880693,,-0.08573617094260057
2006Q2,2315,-0.5264642686926835,-0.4549595882465498,,-0.36533953288553395,,0.29873862450807115,,-1.0603982176057003
2006Q2,2317,1.9243433921511823,2.1283990972285514,,-0.04365620745513983,,1.3094664358323895,,-0.10284260697569486
2006Q2,2323,-0.6835224398280996,-0.7516078019543261,,-0.3869505273614291,,0.029657066807949335,,-0.14389270030917706
