證券代碼,年月,alpha,beta_mkt,beta_smb,beta_hml,beta_mom,r2,n_obs,valid_alpha
0002 第一金福元,2006-12-31,-0.007812843056701182,0.9489116994984921,1.3090633091449178,-0.9962165341690288,-0.18390958994518863,0.8300485229607475,12,1
0002 第一金福元,2007-03-31,-0.01655941617531076,0.8679131973289924,0.665863562074042,-0.3232055659233626,0.3842954405447378,0.7405238065275316,12,1
0002 第一金福元,2007-06-30,-0.005961419112820174,0.6868221891100441,0.42368634434119234,-0.3808838191824004,0.5059890421403911,0.8296735448392925,12,1
0002 第一金福元,2007-09-30,-0.00410517829281205,0.6352572805842354,0.40338726738323477,-0.1357676312183653,1.3826133678069161,0.8401311034099561,12,1
0002 第一金福元,2007-12-31,0.013157185908084047,0.6846129501967302,0.2657672614523101,0.23793621774925985,1.1339101774794609,0.9369790834382777,12,1
0002 第一金福元,2008-03-31,0.00492059886002314,1.1273910115987167,0.33452796759667647,-0.4218161554702464,0.49297929767149884,0.8965540112313862,12,1
0002 第一金福元,2008-06-30,0.008005341288496644,1.2971263592964555,0.4635425451459079,-0.3239305080898629,0.1959162465696348,0.9124566701299214,12,1
0002 第一金福元,2008-09-30,-0.011191619967290161,1.128740612692145,0.05032208965962015,-0.4902008177352205,0.29248280068945326,0.9175123819909103,12,1
0002 第一金福元,2008-12-31,-0.013296245230111008,1.1441081098112214,0.2482627925249062,-0.27923620500799595,0.6161139440658643,0.9157030284753315,12,1
0002 第一金福元,2009-03-31,-0.01755655382817454,0.7774877556675224,0.1806337058173002,-0.012647317143274162,0.047149550833705534,0.8942076750940031,12,1
0002 第一金福元,2009-06-30,-0.02054459730599722,0.40351666497005884,-0.5943099738757086,0.3705801571490154,-1.0233437537562118,0.8572768137814843,12,1
0002 第一金福元,2009-09-30,-0.013593056445204782,0.5363827151118984,-0.49026169572749984,0.5756779730514472,-0.8361881015407153,0.8500491544923701,12,1
0002 第一金福元,2009-12-31,0.003063790342220124,0.8267470067715771,-0.792613775776426,0.5411148914678006,-0.417663916193715,0.8105136170300155,12,1
0002 第一金福元,2010-03-31,-0.039486293266138,1.0705953666899313,0.31241951625014086,0.39476850688216236,-0.8042522538133308,0.8745531637203082,12,1
0002 第一金福元,2010-06-30,-0.052850290736305344,0.5792857279008856,0.9364566017119054,0.43480614917577065,-0.1828098892303271,0.9050419350935901,12,1
0002 第一金福元,2010-09-30,-0.017575929430550245,1.10567148139438,0.16958471081184734,-0.06847628569632969,0.07833674893244708,0.9690130043452219,12,1
0002 第一金福元,2010-12-31,-0.016997282568113514,1.0904515398378551,0.20968327013162386,-0.24396365046842194,0.32229308229788367,0.9651351047343839,12,1
0002 第一金福元,2011-03-31,-0.011946535019434736,1.096824074237519,0.11373592416561318,-0.48442035802583316,0.10092723675156151,0.9479888301349864,12,1
0002 第一金福元,2011-06-30,-0.004547657663492882,1.0051651815899734,0.2955044054418162,-0.35670888022774094,0.24485576781832585,0.942581635648937,12,1
0002 第一金福元,2011-09-30,-0.00569785722226052,1.2356697967581065,0.42928558389199245,-0.5132660685980623,0.4269965397791492,0.9682230499990948,12,1
0002 第一金福元,2011-12-31,-0.01303908180976344,1.0087031519630187,0.01986121648011252,-0.6642028349761956,0.3824079838533741,0.926956423833134,12,1
0002 第一金福元,2012-03-31,-0.0051398802934286055,1.1702594803990918,-0.16053114983358702,-0.26181290101239074,0.1383314212007656,0.9163065637231874,12,1
0002 第一金福元,2012-06-30,-0.008623063366568047,1.147573087467393,-0.3010004254445027,-0.522858073563913,0.07721739663807131,0.9215644364256423,12,1
0002 第一金福元,2012-09-30,-0.00618340540192447,0.9191381348885415,0.011526249319634418,-0.5067418799606093,-0.03726380383079031,0.9021024248215475,12,1
0002 第一金福元,2012-12-31,-0.007379151371669626,1.1737263020447575,0.1948182862972696,0.0116449466229267,0.1572382678898363,0.8964365233353802,12,1
0002 第一金福元,2013-03-31,-0.008605215997645382,1.2523736217654222,0.7938862216365066,0.030864694092824024,0.4664756735302891,0.9055932181001697,12,1
0002 第一金福元,2013-06-30,-0.01601143384356792,1.4249438780653738,0.8993782924348938,0.0376478733381761,0.5657764468823138,0.9101015105476356,12,1
0002 第一金福元,2013-09-30,-0.00842498564014579,1.571517360152058,1.406731778747151,-0.41222636028228254,0.41895326302175523,0.9131838881265346,12,1
0002 第一金福元,2013-12-31,-0.0060008311850142555,1.119447658109928,0.6096241076342899,0.06484367304231128,0.06999727604892125,0.5654329566190721,12,1
0002 第一金福元,2014-03-31,-0.009275235731418635,0.9680908019514335,0.7142450268193733,0.23783886446254146,0.1002263399215435,0.7060126439431308,12,1
0002 第一金福元,2014-06-30,-0.0037625921846096934,0.36368767585180806,0.850811118046193,0.18958391056577278,0.31127102242511767,0.5927008993266393,12,1
0003 匯豐成長,2006-12-31,-0.0036341497056225592,1.0437816044827761,0.5121275339764166,-0.6420004336426699,-0.07085398241719254,0.9209017171241061,12,1
0003 匯豐成長,2007-03-31,-0.007464641479590393,1.033288080719256,0.13205657564728707,-0.3349158439134947,0.04077157785177495,0.8783987220036324,12,1
0003 匯豐成長,2007-06-30,-0.004234868984335307,0.993474199717611,0.038467104149857524,-0.3933247264409183,0.19752486405164735,0.9267121962258106,12,1
0003 匯豐成長,2007-09-30,0.002612609356528013,0.9549762451148105,-0.07678645920972108,-0.29151143449085476,0.46513517502514246,0.882114697691643,12,1
0003 匯豐成長,2007-12-31,0.0072944504142080525,0.833530764828089,-0.05132170056240909,-0.09280408056159034,0.5523591013548406,0.9709903262168861,12,1
